timestamp,arbitration_id,extended,remote,error,dlc,data
1682817661.246565,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.2562892,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.2568295,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.2663028,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.26684,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.276347,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.2770035,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.2861164,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.286729,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.2962263,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.2967734,0xb7,0,0,0,8,WuqyQQAAAAA=
1682817661.3061657,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3066623,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.3161511,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.316617,0xb7,0,0,0,8,swmzQQAAAAA=
1682817661.326253,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.326756,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.3362906,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3367589,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.3463686,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3471158,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.3563318,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3568566,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.3663645,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.367384,0xb7,0,0,0,8,AMuyQQAAAAA=
1682817661.3760428,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3764822,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.3862567,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3867078,0xb7,0,0,0,8,p6uyQQAAAAA=
1682817661.3961792,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.3967142,0xb7,0,0,0,8,TYyyQQAAAAA=
1682817661.4063137,0xa9,0,0,0,8,kcIVPQAAAAA=
1682817661.4068534,0xb7,0,0,0,8,p6uyQQAAAAA=
